time=1692811015.284786 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692811015.285220 concurrency=250
time=1692811016.302993 latency=2:3:7:10:114:(17)ms latency95=76ms latency99=98ms requests=259 option1=0 option2=0 errors=0 throughput=254rps ql=1 rr=0.00% cr=0.00% accRequests=259 accOption1=0 accOption2=0 accLatency=2:3:7:10:114:(17)ms accLatency95=76ms accLatency99=98ms accOpenQueuing=5 accErrors=0
time=1692811017.303463 latency=2:3:3:7:55:(6)ms latency95=22ms latency99=43ms requests=254 option1=0 option2=0 errors=0 throughput=254rps ql=4 rr=0.00% cr=0.00% accRequests=513 accOption1=0 accOption2=0 accLatency=2:3:4:8:114:(12)ms accLatency95=57ms accLatency99=87ms accOpenQueuing=7 accErrors=0
time=1692811018.304035 latency=2:3:3:3:9:(3)ms latency95=7ms latency99=8ms requests=250 option1=0 option2=0 errors=0 throughput=250rps ql=0 rr=0.00% cr=0.00% accRequests=763 accOption1=0 accOption2=0 accLatency=2:3:3:7:114:(9)ms accLatency95=49ms accLatency99=83ms accOpenQueuing=8 accErrors=0
time=1692811019.304897 latency=2:3:3:3:8:(3)ms latency95=4ms latency99=8ms requests=269 option1=0 option2=0 errors=0 throughput=269rps ql=0 rr=0.00% cr=0.00% accRequests=1032 accOption1=0 accOption2=0 accLatency=2:3:3:7:114:(7)ms accLatency95=34ms accLatency99=79ms accOpenQueuing=8 accErrors=0
time=1692811020.305981 latency=2:3:3:3:9:(3)ms latency95=4ms latency99=4ms requests=225 option1=0 option2=0 errors=0 throughput=225rps ql=2 rr=0.00% cr=0.00% accRequests=1257 accOption1=0 accOption2=0 accLatency=2:3:3:4:114:(7)ms accLatency95=27ms accLatency99=76ms accOpenQueuing=10 accErrors=0
time=1692811021.307314 latency=2:3:3:3:9:(3)ms latency95=4ms latency99=7ms requests=241 option1=0 option2=0 errors=0 throughput=241rps ql=0 rr=0.00% cr=0.00% accRequests=1498 accOption1=0 accOption2=0 accLatency=2:3:3:4:114:(6)ms accLatency95=12ms accLatency99=72ms accOpenQueuing=10 accErrors=0
time=1692811022.308534 latency=2:3:3:3:9:(3)ms latency95=4ms latency99=4ms requests=228 option1=0 option2=0 errors=0 throughput=228rps ql=2 rr=0.00% cr=0.00% accRequests=1726 accOption1=0 accOption2=0 accLatency=2:3:3:4:114:(6)ms accLatency95=10ms accLatency99=72ms accOpenQueuing=10 accErrors=0
time=1692811023.310154 latency=2:3:3:3:6:(3)ms latency95=4ms latency99=5ms requests=237 option1=0 option2=0 errors=0 throughput=237rps ql=0 rr=0.00% cr=0.00% accRequests=1963 accOption1=0 accOption2=0 accLatency=2:3:3:4:114:(5)ms accLatency95=9ms accLatency99=66ms accOpenQueuing=11 accErrors=0
time=1692811024.311684 latency=2:3:3:3:7:(3)ms latency95=4ms latency99=6ms requests=261 option1=0 option2=0 errors=0 throughput=261rps ql=0 rr=0.00% cr=0.00% accRequests=2224 accOption1=0 accOption2=0 accLatency=2:3:3:3:114:(5)ms accLatency95=9ms accLatency99=65ms accOpenQueuing=12 accErrors=0
time=1692811025.313433 latency=2:3:3:3:6:(3)ms latency95=4ms latency99=5ms requests=253 option1=0 option2=0 errors=0 throughput=253rps ql=0 rr=0.00% cr=0.00% accRequests=2477 accOption1=0 accOption2=0 accLatency=2:3:3:3:114:(5)ms accLatency95=8ms accLatency99=59ms accOpenQueuing=12 accErrors=0
time=1692811026.315242 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=246 option1=0 option2=0 errors=0 throughput=246rps ql=1 rr=0.00% cr=0.00% accRequests=2723 accOption1=0 accOption2=0 accLatency=2:3:3:3:114:(5)ms accLatency95=8ms accLatency99=57ms accOpenQueuing=12 accErrors=0
time=1692811027.317605 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=264 option1=0 option2=0 errors=0 throughput=263rps ql=0 rr=0.00% cr=0.00% accRequests=2987 accOption1=0 accOption2=0 accLatency=2:3:3:3:114:(5)ms accLatency95=8ms accLatency99=57ms accOpenQueuing=12 accErrors=0
time=1692811028.320193 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=242 option1=0 option2=0 errors=0 throughput=241rps ql=0 rr=0.00% cr=0.00% accRequests=3229 accOption1=0 accOption2=0 accLatency=2:3:3:3:114:(4)ms accLatency95=8ms accLatency99=56ms accOpenQueuing=13 accErrors=0
time=1692811029.323024 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=249 option1=0 option2=0 errors=0 throughput=248rps ql=0 rr=0.00% cr=0.00% accRequests=3478 accOption1=0 accOption2=0 accLatency=2:3:3:3:114:(4)ms accLatency95=7ms accLatency99=55ms accOpenQueuing=14 accErrors=0
time=1692811030.325585 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=259 option1=0 option2=0 errors=0 throughput=258rps ql=0 rr=0.00% cr=0.00% accRequests=3737 accOption1=0 accOption2=0 accLatency=2:3:3:3:114:(4)ms accLatency95=7ms accLatency99=49ms accOpenQueuing=17 accErrors=0
