time=1692808654.901475 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692808654.901906 concurrency=250
time=1692808655.930092 latency=2:3:7:9:122:(17)ms latency95=86ms latency99=113ms requests=266 option1=0 option2=0 errors=0 throughput=259rps ql=0 rr=0.00% cr=0.00% accRequests=266 accOption1=0 accOption2=0 accLatency=2:3:7:9:122:(17)ms accLatency95=86ms accLatency99=113ms accOpenQueuing=4 accErrors=0
time=1692808656.930548 latency=2:3:3:7:46:(5)ms latency95=9ms latency99=24ms requests=245 option1=0 option2=0 errors=0 throughput=245rps ql=0 rr=0.00% cr=0.00% accRequests=511 accOption1=0 accOption2=0 accLatency=2:3:4:8:122:(11)ms accLatency95=57ms accLatency99=108ms accOpenQueuing=6 accErrors=0
time=1692808657.931226 latency=2:3:3:3:8:(3)ms latency95=7ms latency99=8ms requests=233 option1=0 option2=0 errors=0 throughput=233rps ql=2 rr=0.00% cr=0.00% accRequests=744 accOption1=0 accOption2=0 accLatency=2:3:3:7:122:(9)ms accLatency95=39ms accLatency99=104ms accOpenQueuing=7 accErrors=0
time=1692808658.932070 latency=2:3:3:3:8:(3)ms latency95=4ms latency99=8ms requests=240 option1=0 option2=0 errors=0 throughput=240rps ql=3 rr=0.00% cr=0.00% accRequests=984 accOption1=0 accOption2=0 accLatency=2:3:3:7:122:(7)ms accLatency95=25ms accLatency99=89ms accOpenQueuing=8 accErrors=0
time=1692808659.933081 latency=2:3:3:3:9:(3)ms latency95=4ms latency99=7ms requests=264 option1=0 option2=0 errors=0 throughput=264rps ql=0 rr=0.00% cr=0.00% accRequests=1248 accOption1=0 accOption2=0 accLatency=2:3:3:4:122:(6)ms accLatency95=10ms accLatency99=86ms accOpenQueuing=8 accErrors=0
time=1692808660.934327 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=5ms requests=242 option1=0 option2=0 errors=0 throughput=242rps ql=3 rr=0.00% cr=0.00% accRequests=1490 accOption1=0 accOption2=0 accLatency=2:3:3:4:122:(6)ms accLatency95=9ms accLatency99=83ms accOpenQueuing=11 accErrors=0
time=1692808661.935572 latency=2:3:3:3:5:(3)ms latency95=4ms latency99=4ms requests=277 option1=0 option2=0 errors=0 throughput=277rps ql=0 rr=0.00% cr=0.00% accRequests=1767 accOption1=0 accOption2=0 accLatency=2:3:3:3:122:(5)ms accLatency95=9ms accLatency99=82ms accOpenQueuing=12 accErrors=0
time=1692808662.936983 latency=2:3:3:3:8:(3)ms latency95=4ms latency99=6ms requests=234 option1=0 option2=0 errors=0 throughput=234rps ql=2 rr=0.00% cr=0.00% accRequests=2001 accOption1=0 accOption2=0 accLatency=2:3:3:3:122:(5)ms accLatency95=8ms accLatency99=79ms accOpenQueuing=12 accErrors=0
time=1692808663.938778 latency=2:3:3:3:6:(3)ms latency95=4ms latency99=4ms requests=232 option1=0 option2=0 errors=0 throughput=232rps ql=1 rr=0.00% cr=0.00% accRequests=2233 accOption1=0 accOption2=0 accLatency=2:3:3:3:122:(5)ms accLatency95=8ms accLatency99=64ms accOpenQueuing=13 accErrors=0
