time=1692879847.830978 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692879847.831462 concurrency=1000
time=1692879848.903585 latency=100:448:502:558:862:(500)ms latency95=682ms latency99=835ms requests=589 option1=0 option2=0 errors=0 throughput=549rps ql=350 rr=0.00% cr=0.00% accRequests=589 accOption1=0 accOption2=0 accLatency=100:448:502:558:862:(500)ms accLatency95=682ms accLatency99=835ms accOpenQueuing=70 accErrors=0
time=1692879849.904091 latency=3:6:81:171:957:(136)ms latency95=527ms latency99=710ms requests=1439 option1=0 option2=0 errors=0 throughput=1438rps ql=7 rr=0.00% cr=0.00% accRequests=2028 accOption1=0 accOption2=0 accLatency=3:9:149:468:957:(242)ms accLatency95=645ms accLatency99=810ms accOpenQueuing=380 accErrors=0
time=1692879850.907220 latency=3:4:4:5:11:(4)ms latency95=8ms latency99=10ms requests=1019 option1=0 option2=0 errors=0 throughput=1016rps ql=6 rr=0.00% cr=0.00% accRequests=3047 accOption1=0 accOption2=0 accLatency=3:4:10:308:957:(162)ms accLatency95=595ms accLatency99=727ms accOpenQueuing=381 accErrors=0
time=1692879851.910870 latency=3:4:4:5:12:(4)ms latency95=7ms latency99=9ms requests=1021 option1=0 option2=0 errors=0 throughput=1017rps ql=3 rr=0.00% cr=0.00% accRequests=4068 accOption1=0 accOption2=0 accLatency=3:4:5:148:957:(123)ms accLatency95=557ms accLatency99=706ms accOpenQueuing=388 accErrors=0
time=1692879852.915534 latency=3:3:4:5:12:(4)ms latency95=7ms latency99=9ms requests=1008 option1=0 option2=0 errors=0 throughput=1003rps ql=12 rr=0.00% cr=0.00% accRequests=5076 accOption1=0 accOption2=0 accLatency=3:4:5:87:957:(99)ms accLatency95=535ms accLatency99=692ms accOpenQueuing=395 accErrors=0
time=1692879853.920917 latency=3:4:4:5:10:(4)ms latency95=6ms latency99=8ms requests=1003 option1=0 option2=0 errors=0 throughput=998rps ql=5 rr=0.00% cr=0.00% accRequests=6079 accOption1=0 accOption2=0 accLatency=3:4:5:10:957:(84)ms accLatency95=518ms accLatency99=679ms accOpenQueuing=397 accErrors=0
time=1692879854.927657 latency=3:4:4:5:11:(4)ms latency95=6ms latency99=8ms requests=940 option1=0 option2=0 errors=0 throughput=934rps ql=7 rr=0.00% cr=0.00% accRequests=7019 accOption1=0 accOption2=0 accLatency=3:4:4:8:957:(73)ms accLatency95=511ms accLatency99=673ms accOpenQueuing=401 accErrors=0
time=1692879855.934337 latency=3:4:4:5:12:(4)ms latency95=6ms latency99=9ms requests=993 option1=0 option2=0 errors=0 throughput=986rps ql=9 rr=0.00% cr=0.00% accRequests=8012 accOption1=0 accOption2=0 accLatency=3:4:4:6:957:(64)ms accLatency95=498ms accLatency99=662ms accOpenQueuing=406 accErrors=0
time=1692879856.942893 latency=3:4:5:6:13:(5)ms latency95=8ms latency99=10ms requests=994 option1=0 option2=0 errors=0 throughput=986rps ql=12 rr=0.00% cr=0.00% accRequests=9006 accOption1=0 accOption2=0 accLatency=3:4:5:6:957:(58)ms accLatency95=481ms accLatency99=655ms accOpenQueuing=407 accErrors=0
