time=1692886219.188726 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692886219.189178 concurrency=500
time=1692886220.219113 latency=3:5:9:17:161:(23)ms latency95=103ms latency99=156ms requests=505 option1=0 option2=0 errors=0 throughput=490rps ql=6 rr=0.00% cr=0.00% accRequests=505 accOption1=0 accOption2=0 accLatency=3:5:9:17:161:(23)ms accLatency95=103ms accLatency99=156ms accOpenQueuing=9 accErrors=0
time=1692886221.219866 latency=3:4:5:8:53:(7)ms latency95=10ms latency99=40ms requests=494 option1=0 option2=0 errors=0 throughput=494rps ql=3 rr=0.00% cr=0.00% accRequests=999 accOption1=0 accOption2=0 accLatency=3:4:7:10:161:(15)ms accLatency95=72ms accLatency99=125ms accOpenQueuing=14 accErrors=0
time=1692886222.221031 latency=3:4:5:6:12:(5)ms latency95=9ms latency99=10ms requests=506 option1=0 option2=0 errors=0 throughput=505rps ql=0 rr=0.00% cr=0.00% accRequests=1505 accOption1=0 accOption2=0 accLatency=3:4:5:9:161:(12)ms accLatency95=53ms accLatency99=114ms accOpenQueuing=15 accErrors=0
time=1692886223.222738 latency=3:4:5:6:12:(5)ms latency95=9ms latency99=11ms requests=477 option1=0 option2=0 errors=0 throughput=476rps ql=1 rr=0.00% cr=0.00% accRequests=1982 accOption1=0 accOption2=0 accLatency=3:4:5:8:161:(10)ms accLatency95=41ms accLatency99=107ms accOpenQueuing=18 accErrors=0
time=1692886224.224617 latency=3:4:5:6:11:(5)ms latency95=7ms latency99=9ms requests=497 option1=0 option2=0 errors=0 throughput=496rps ql=3 rr=0.00% cr=0.00% accRequests=2479 accOption1=0 accOption2=0 accLatency=3:4:5:7:161:(9)ms accLatency95=26ms accLatency99=103ms accOpenQueuing=18 accErrors=0
time=1692886225.227023 latency=3:4:5:5:11:(5)ms latency95=7ms latency99=8ms requests=524 option1=0 option2=0 errors=0 throughput=523rps ql=2 rr=0.00% cr=0.00% accRequests=3003 accOption1=0 accOption2=0 accLatency=3:4:5:6:161:(8)ms accLatency95=15ms accLatency99=96ms accOpenQueuing=18 accErrors=0
time=1692886226.229510 latency=3:4:5:5:9:(5)ms latency95=7ms latency99=7ms requests=483 option1=0 option2=0 errors=0 throughput=482rps ql=0 rr=0.00% cr=0.00% accRequests=3486 accOption1=0 accOption2=0 accLatency=3:4:5:6:161:(8)ms accLatency95=12ms accLatency99=93ms accOpenQueuing=20 accErrors=0
time=1692886227.232378 latency=3:4:5:5:13:(5)ms latency95=7ms latency99=7ms requests=526 option1=0 option2=0 errors=0 throughput=524rps ql=4 rr=0.00% cr=0.00% accRequests=4012 accOption1=0 accOption2=0 accLatency=3:4:5:6:161:(7)ms accLatency95=11ms accLatency99=86ms accOpenQueuing=21 accErrors=0
time=1692886228.236976 latency=3:4:5:5:10:(5)ms latency95=7ms latency99=8ms requests=520 option1=0 option2=0 errors=0 throughput=518rps ql=1 rr=0.00% cr=0.00% accRequests=4532 accOption1=0 accOption2=0 accLatency=3:4:5:6:161:(7)ms accLatency95=11ms accLatency99=76ms accOpenQueuing=25 accErrors=0
