time=1693317807.261475 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1693317807.261954 concurrency=750
time=1693317808.341212 latency=5:61:83:108:264:(86)ms latency95=152ms latency99=207ms requests=546 option1=0 option2=0 errors=0 throughput=506rps ql=164 rr=0.00% cr=0.00% accRequests=546 accOption1=0 accOption2=0 accLatency=5:61:83:108:264:(86)ms accLatency95=152ms accLatency99=207ms accOpenQueuing=37 accErrors=0
time=1693317809.341961 latency=3:58:81:105:261:(84)ms latency95=153ms latency99=201ms requests=569 option1=0 option2=0 errors=0 throughput=569rps ql=206 rr=0.00% cr=0.00% accRequests=1115 accOption1=0 accOption2=0 accLatency=3:59:82:107:264:(85)ms accLatency95=153ms accLatency99=205ms accOpenQueuing=84 accErrors=0
time=1693317810.343343 latency=4:57:80:109:282:(85)ms latency95=152ms latency99=229ms requests=539 option1=0 option2=0 errors=0 throughput=538rps ql=232 rr=0.00% cr=0.00% accRequests=1654 accOption1=0 accOption2=0 accLatency=3:59:81:107:282:(85)ms accLatency95=152ms accLatency99=207ms accOpenQueuing=128 accErrors=0
time=1693317811.345116 latency=4:62:83:104:218:(85)ms latency95=146ms latency99=191ms requests=546 option1=0 option2=0 errors=0 throughput=545rps ql=247 rr=0.00% cr=0.00% accRequests=2200 accOption1=0 accOption2=0 accLatency=3:60:82:106:282:(85)ms accLatency95=152ms accLatency99=207ms accOpenQueuing=169 accErrors=0
time=1693317812.347180 latency=7:63:86:108:248:(87)ms latency95=145ms latency99=205ms requests=559 option1=0 option2=0 errors=22 throughput=536rps ql=282 rr=0.00% cr=0.00% accRequests=2759 accOption1=0 accOption2=0 accLatency=3:60:83:107:282:(85)ms accLatency95=151ms accLatency99=207ms accOpenQueuing=209 accErrors=22
time=1693317813.348773 latency=34:85:134:3169:5142:(1395)ms latency95=4778ms latency99=5056ms requests=728 option1=0 option2=0 errors=103 throughput=624rps ql=370 rr=0.00% cr=0.00% accRequests=3487 accOption1=0 accOption2=0 accLatency=3:63:88:116:5142:(329)ms accLatency95=2886ms accLatency99=4736ms accOpenQueuing=505 accErrors=125
time=1693317814.350622 latency=4:114:190:2232:5168:(1114)ms latency95=4163ms latency99=4970ms requests=567 option1=0 option2=0 errors=38 throughput=528rps ql=408 rr=0.00% cr=0.00% accRequests=4054 accOption1=0 accOption2=0 accLatency=3:65:93:130:5168:(436)ms accLatency95=3508ms accLatency99=4792ms accOpenQueuing=739 accErrors=163
time=1693317815.353938 latency=6:152:227:1715:5278:(1095)ms latency95=4596ms latency99=5095ms requests=542 option1=0 option2=0 errors=21 throughput=519rps ql=402 rr=0.00% cr=0.00% accRequests=4596 accOption1=0 accOption2=0 accLatency=3:69:100:156:5278:(513)ms accLatency95=3701ms accLatency99=4850ms accOpenQueuing=955 accErrors=184
time=1693317816.357871 latency=4:151:208:317:5042:(558)ms latency95=3179ms latency99=4676ms requests=520 option1=0 option2=0 errors=10 throughput=508rps ql=406 rr=0.00% cr=0.00% accRequests=5116 accOption1=0 accOption2=0 accLatency=3:72:106:187:5278:(518)ms accLatency95=3665ms accLatency99=4846ms accOpenQueuing=1118 accErrors=194
time=1693317817.362154 latency=12:141:201:383:5132:(794)ms latency95=4294ms latency99=4948ms requests=541 option1=0 option2=0 errors=38 throughput=501rps ql=388 rr=0.00% cr=0.00% accRequests=5657 accOption1=0 accOption2=0 accLatency=3:74:111:205:5278:(544)ms accLatency95=3734ms accLatency99=4850ms accOpenQueuing=1291 accErrors=232
time=1693317818.365255 latency=44:223:370:4183:9272:(2095)ms latency95=6729ms latency99=8974ms requests=685 option1=0 option2=0 errors=193 throughput=490rps ql=483 rr=0.00% cr=0.00% accRequests=6342 accOption1=0 accOption2=0 accLatency=3:77:119:241:9272:(673)ms accLatency95=4252ms accLatency99=5137ms accOpenQueuing=1567 accErrors=425
time=1693317819.367770 latency=75:660:2406:4764:11414:(2988)ms latency95=7967ms latency99=9692ms requests=640 option1=0 option2=0 errors=66 throughput=573rps ql=549 rr=0.00% cr=0.00% accRequests=6982 accOption1=0 accOption2=0 accLatency=3:81:132:407:11414:(877)ms accLatency95=4686ms accLatency99=7126ms accOpenQueuing=1916 accErrors=491
time=1693317820.372250 latency=44:758:1399:4425:11739:(2655)ms latency95=7835ms latency99=10058ms requests=603 option1=0 option2=0 errors=15 throughput=585rps ql=584 rr=0.00% cr=0.00% accRequests=7585 accOption1=0 accOption2=0 accLatency=3:85:147:802:11739:(1025)ms accLatency95=4914ms accLatency99=7846ms accOpenQueuing=2306 accErrors=506
time=1693317821.377573 latency=123:910:1566:4275:12375:(2701)ms latency95=7703ms latency99=10469ms requests=558 option1=0 option2=0 errors=1 throughput=554rps ql=614 rr=0.00% cr=0.00% accRequests=8143 accOption1=0 accOption2=0 accLatency=3:89:165:1211:12375:(1147)ms accLatency95=5101ms accLatency99=8212ms accOpenQueuing=2693 accErrors=507
time=1693317822.384471 latency=135:998:1679:3488:13167:(2617)ms latency95=7641ms latency99=10315ms requests=536 option1=0 option2=0 errors=4 throughput=528rps ql=635 rr=0.00% cr=0.00% accRequests=8679 accOption1=0 accOption2=0 accLatency=3:92:194:1509:13167:(1243)ms accLatency95=5258ms accLatency99=8467ms accOpenQueuing=3096 accErrors=511
time=1693317823.390630 latency=84:1169:2016:3725:13891:(2891)ms latency95=7557ms latency99=10435ms requests=558 option1=0 option2=0 errors=34 throughput=521rps ql=653 rr=0.00% cr=0.00% accRequests=9237 accOption1=0 accOption2=0 accLatency=3:96:218:1763:13891:(1342)ms accLatency95=5442ms accLatency99=8659ms accOpenQueuing=3508 accErrors=545
time=1693317824.394860 latency=131:1290:2195:4158:14552:(3112)ms latency95=8364ms latency99=10930ms requests=684 option1=0 option2=0 errors=84 throughput=597rps ql=656 rr=0.00% cr=0.00% accRequests=9921 accOption1=0 accOption2=0 accLatency=3:100:272:2046:14552:(1457)ms accLatency95=5711ms accLatency99=8974ms accOpenQueuing=3991 accErrors=629
time=1693317825.404195 latency=147:1636:2891:5573:15416:(3961)ms latency95=10042ms latency99=12714ms requests=518 option1=0 option2=0 errors=17 throughput=496rps ql=679 rr=0.00% cr=0.00% accRequests=10439 accOption1=0 accOption2=0 accLatency=3:103:356:2338:15416:(1585)ms accLatency95=6116ms accLatency99=9558ms accOpenQueuing=4414 accErrors=646
time=1693317826.413797 latency=430:1611:2483:4416:11675:(3427)ms latency95=8744ms latency99=11085ms requests=118 option1=0 option2=0 errors=2 throughput=115rps ql=721 rr=0.00% cr=0.00% accRequests=10557 accOption1=0 accOption2=0 accLatency=3:104:392:2392:15416:(1606)ms accLatency95=6167ms accLatency99=9591ms accOpenQueuing=4503 accErrors=648
time=1693317827.417480 latency=197:2026:3571:6244:14503:(4371)ms latency95=10572ms latency99=12911ms requests=528 option1=0 option2=0 errors=11 throughput=515rps ql=700 rr=0.00% cr=0.00% accRequests=11085 accOption1=0 accOption2=0 accLatency=3:108:621:2678:15416:(1743)ms accLatency95=6748ms accLatency99=10241ms accOpenQueuing=4914 accErrors=659
time=1693317828.427229 latency=83:2493:3980:6873:16933:(4824)ms latency95=11366ms latency99=13715ms requests=521 option1=0 option2=0 errors=5 throughput=511rps ql=690 rr=0.00% cr=0.00% accRequests=11606 accOption1=0 accOption2=0 accLatency=3:111:770:3019:16933:(1889)ms accLatency95=7241ms accLatency99=10600ms accOpenQueuing=5381 accErrors=664
time=1693317829.435113 latency=7:1288:3107:5674:14473:(3826)ms latency95=10213ms latency99=12790ms requests=745 option1=0 option2=0 errors=36 throughput=703rps ql=634 rr=0.00% cr=0.00% accRequests=12351 accOption1=0 accOption2=0 accLatency=3:116:881:3232:16933:(2007)ms accLatency95=7522ms accLatency99=10838ms accOpenQueuing=6023 accErrors=700
time=1693317830.444418 latency=18:1145:3733:6015:19384:(4123)ms latency95=10211ms latency99=16085ms requests=893 option1=0 option2=0 errors=143 throughput=743rps ql=608 rr=0.00% cr=0.00% accRequests=13244 accOption1=0 accOption2=0 accLatency=3:121:949:3489:19384:(2135)ms accLatency95=7821ms accLatency99=11342ms accOpenQueuing=6658 accErrors=843
time=1693317831.451348 latency=35:315:2919:5095:18812:(3435)ms latency95=10103ms latency99=14859ms requests=654 option1=0 option2=0 errors=57 throughput=593rps ql=592 rr=0.00% cr=0.00% accRequests=13898 accOption1=0 accOption2=0 accLatency=3:127:995:3602:19384:(2194)ms accLatency95=7885ms accLatency99=11598ms accOpenQueuing=7121 accErrors=900
