time=1693319138.248945 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1693319138.249406 concurrency=60
time=1693319139.255800 latency=55:117:195:235:441:(189)ms latency95=307ms latency99=441ms requests=43 option1=0 option2=0 errors=0 throughput=43rps ql=17 rr=0.00% cr=0.00% accRequests=43 accOption1=0 accOption2=0 accLatency=55:117:195:235:441:(189)ms accLatency95=307ms accLatency99=441ms accOpenQueuing=4 accErrors=0
time=1693319140.256064 latency=263:330:397:433:750:(412)ms latency95=645ms latency99=730ms requests=53 option1=0 option2=0 errors=0 throughput=53rps ql=20 rr=0.00% cr=0.00% accRequests=96 accOption1=0 accOption2=0 accLatency=55:203:298:409:750:(312)ms accLatency95=568ms accLatency99=730ms accOpenQueuing=19 accErrors=0
time=1693319141.256327 latency=394:431:463:574:1074:(528)ms latency95=959ms latency99=1074ms requests=45 option1=0 option2=0 errors=0 throughput=45rps ql=29 rr=0.00% cr=0.00% accRequests=141 accOption1=0 accOption2=0 accLatency=55:255:398:457:1074:(381)ms accLatency95=715ms accLatency99=976ms accOpenQueuing=33 accErrors=0
time=1693319142.256630 latency=492:530:566:854:1466:(696)ms latency95=1104ms latency99=1322ms requests=53 option1=0 option2=0 errors=0 throughput=53rps ql=37 rr=0.00% cr=0.00% accRequests=194 accOption1=0 accOption2=0 accLatency=55:298:440:557:1466:(467)ms accLatency95=959ms accLatency99=1110ms accOpenQueuing=52 accErrors=0
time=1693319143.256983 latency=624:724:756:975:2189:(883)ms latency95=1319ms latency99=2189ms requests=46 option1=0 option2=0 errors=0 throughput=46rps ql=39 rr=0.00% cr=0.00% accRequests=240 accOption1=0 accOption2=0 accLatency=55:372:495:720:2189:(547)ms accLatency95=1104ms accLatency99=1343ms accOpenQueuing=68 accErrors=0
time=1693319144.257330 latency=712:788:1103:1387:2655:(1163)ms latency95=1891ms latency99=1975ms requests=51 option1=0 option2=0 errors=0 throughput=51rps ql=41 rr=0.00% cr=0.00% accRequests=291 accOption1=0 accOption2=0 accLatency=55:403:557:786:2655:(655)ms accLatency95=1376ms accLatency99=1934ms accOpenQueuing=102 accErrors=0
time=1693319145.257704 latency=756:813:1309:1574:2458:(1317)ms latency95=2288ms latency99=2402ms requests=53 option1=0 option2=0 errors=0 throughput=53rps ql=44 rr=0.00% cr=0.00% accRequests=344 accOption1=0 accOption2=0 accLatency=55:424:690:945:2655:(757)ms accLatency95=1686ms accLatency99=2320ms accOpenQueuing=139 accErrors=0
time=1693319146.258141 latency=807:862:1336:1908:3103:(1447)ms latency95=2647ms latency99=2965ms requests=54 option1=0 option2=0 errors=0 throughput=54rps ql=47 rr=0.00% cr=0.00% accRequests=398 accOption1=0 accOption2=0 accLatency=55:442:751:1110:3103:(850)ms accLatency95=1969ms accLatency99=2647ms accOpenQueuing=176 accErrors=0
time=1693319147.258557 latency=900:1107:1543:2160:2747:(1657)ms latency95=2680ms latency99=2747ms requests=43 option1=0 option2=0 errors=0 throughput=43rps ql=56 rr=0.00% cr=0.00% accRequests=441 accOption1=0 accOption2=0 accLatency=55:465:780:1300:3103:(929)ms accLatency95=2229ms accLatency99=2704ms accOpenQueuing=213 accErrors=0
