time=1693318694.895831 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1693318694.896293 concurrency=1500
time=1693318698.341885 latency=1:28:118:461:1707:(295)ms latency95=1111ms latency99=1364ms requests=3962 option1=0 option2=0 errors=0 throughput=1150rps ql=8 rr=0.00% cr=0.00% accRequests=3962 accOption1=0 accOption2=0 accLatency=1:28:118:461:1707:(295)ms accLatency95=1111ms accLatency99=1364ms accOpenQueuing=838 accErrors=0
time=1693318699.346337 latency=1:2:3:5:18:(4)ms latency95=8ms latency99=12ms requests=1475 option1=0 option2=0 errors=0 throughput=1468rps ql=2 rr=0.00% cr=0.00% accRequests=5437 accOption1=0 accOption2=0 accLatency=1:4:58:242:1707:(216)ms accLatency95=1049ms accLatency99=1319ms accOpenQueuing=842 accErrors=0
time=1693318700.351058 latency=1:2:3:4:12:(4)ms latency95=7ms latency99=9ms requests=1501 option1=0 option2=0 errors=0 throughput=1494rps ql=4 rr=0.00% cr=0.00% accRequests=6938 accOption1=0 accOption2=0 accLatency=1:3:7:147:1707:(170)ms accLatency95=986ms accLatency99=1283ms accOpenQueuing=851 accErrors=0
time=1693318701.359763 latency=1:2:3:4:11:(3)ms latency95=6ms latency99=8ms requests=1534 option1=0 option2=0 errors=0 throughput=1521rps ql=9 rr=0.00% cr=0.00% accRequests=8472 accOption1=0 accOption2=0 accLatency=1:3:5:107:1707:(140)ms accLatency95=908ms accLatency99=1259ms accOpenQueuing=858 accErrors=0
time=1693318702.369740 latency=1:2:3:4:23:(4)ms latency95=10ms latency99=14ms requests=1489 option1=0 option2=0 errors=0 throughput=1474rps ql=3 rr=0.00% cr=0.00% accRequests=9961 accOption1=0 accOption2=0 accLatency=1:3:4:78:1707:(120)ms accLatency95=841ms accLatency99=1237ms accOpenQueuing=864 accErrors=0
time=1693318703.378092 latency=1:2:3:4:17:(4)ms latency95=9ms latency99=15ms requests=1524 option1=0 option2=0 errors=0 throughput=1511rps ql=5 rr=0.00% cr=0.00% accRequests=11485 accOption1=0 accOption2=0 accLatency=1:3:4:40:1707:(104)ms accLatency95=765ms accLatency99=1197ms accOpenQueuing=871 accErrors=0
time=1693318704.389147 latency=1:2:3:3:9:(3)ms latency95=5ms latency99=7ms requests=1500 option1=0 option2=0 errors=0 throughput=1484rps ql=13 rr=0.00% cr=0.00% accRequests=12985 accOption1=0 accOption2=0 accLatency=1:2:4:11:1707:(92)ms accLatency95=710ms accLatency99=1183ms accOpenQueuing=873 accErrors=0
time=1693318705.399869 latency=1:2:3:4:13:(3)ms latency95=6ms latency99=10ms requests=1530 option1=0 option2=0 errors=0 throughput=1514rps ql=25 rr=0.00% cr=0.00% accRequests=14515 accOption1=0 accOption2=0 accLatency=1:2:3:8:1707:(83)ms accLatency95=653ms accLatency99=1171ms accOpenQueuing=875 accErrors=0
time=1693318706.410263 latency=1:2:3:4:14:(3)ms latency95=7ms latency99=12ms requests=1499 option1=0 option2=0 errors=0 throughput=1484rps ql=4 rr=0.00% cr=0.00% accRequests=16014 accOption1=0 accOption2=0 accLatency=1:2:3:7:1707:(76)ms accLatency95=583ms accLatency99=1146ms accOpenQueuing=880 accErrors=0
