time=1693317368.075147 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1693317368.075548 concurrency=1500
time=1693317372.146760 latency=2:10:162:937:2878:(514)ms latency95=1793ms latency99=2225ms requests=4716 option1=0 option2=0 errors=0 throughput=1158rps ql=9 rr=0.00% cr=0.00% accRequests=4716 accOption1=0 accOption2=0 accLatency=2:10:162:937:2878:(514)ms accLatency95=1793ms accLatency99=2225ms accOpenQueuing=1448 accErrors=0
time=1693317373.151628 latency=1:3:4:5:13:(4)ms latency95=8ms latency99=10ms requests=1531 option1=0 option2=0 errors=0 throughput=1524rps ql=7 rr=0.00% cr=0.00% accRequests=6247 accOption1=0 accOption2=0 accLatency=1:4:60:613:2878:(389)ms accLatency95=1724ms accLatency99=2162ms accOpenQueuing=1454 accErrors=0
time=1693317374.157551 latency=1:3:3:5:37:(4)ms latency95=10ms latency99=25ms requests=1522 option1=0 option2=0 errors=0 throughput=1513rps ql=2 rr=0.00% cr=0.00% accRequests=7769 accOption1=0 accOption2=0 accLatency=1:3:8:348:2878:(314)ms accLatency95=1629ms accLatency99=2115ms accOpenQueuing=1460 accErrors=0
time=1693317375.163391 latency=1:3:3:5:15:(4)ms latency95=8ms latency99=13ms requests=1497 option1=0 option2=0 errors=0 throughput=1488rps ql=6 rr=0.00% cr=0.00% accRequests=9266 accOption1=0 accOption2=0 accLatency=1:3:6:172:2878:(264)ms accLatency95=1555ms accLatency99=2068ms accOpenQueuing=1465 accErrors=0
time=1693317376.172801 latency=1:2:3:4:14:(4)ms latency95=7ms latency99=11ms requests=1499 option1=0 option2=0 errors=0 throughput=1485rps ql=3 rr=0.00% cr=0.00% accRequests=10765 accOption1=0 accOption2=0 accLatency=1:3:5:110:2878:(228)ms accLatency95=1484ms accLatency99=2029ms accOpenQueuing=1472 accErrors=0
time=1693317377.181705 latency=1:2:3:4:10:(4)ms latency95=7ms latency99=9ms requests=1539 option1=0 option2=0 errors=0 throughput=1525rps ql=14 rr=0.00% cr=0.00% accRequests=12304 accOption1=0 accOption2=0 accLatency=1:3:4:65:2878:(200)ms accLatency95=1408ms accLatency99=1982ms accOpenQueuing=1476 accErrors=0
time=1693317378.191569 latency=1:3:3:5:10:(4)ms latency95=7ms latency99=8ms requests=1493 option1=0 option2=0 errors=0 throughput=1478rps ql=3 rr=0.00% cr=0.00% accRequests=13797 accOption1=0 accOption2=0 accLatency=1:3:4:17:2878:(178)ms accLatency95=1335ms accLatency99=1951ms accOpenQueuing=1479 accErrors=0
time=1693317379.202878 latency=1:3:3:5:22:(4)ms latency95=10ms latency99=15ms requests=1471 option1=0 option2=0 errors=0 throughput=1455rps ql=4 rr=0.00% cr=0.00% accRequests=15268 accOption1=0 accOption2=0 accLatency=1:3:4:10:2878:(162)ms accLatency95=1262ms accLatency99=1931ms accOpenQueuing=1485 accErrors=0
time=1693317380.212752 latency=1:3:3:5:12:(4)ms latency95=7ms latency99=10ms requests=1498 option1=0 option2=0 errors=0 throughput=1483rps ql=0 rr=0.00% cr=0.00% accRequests=16766 accOption1=0 accOption2=0 accLatency=1:3:4:8:2878:(147)ms accLatency95=1202ms accLatency99=1904ms accOpenQueuing=1490 accErrors=0
time=1693317381.225182 latency=1:3:3:5:12:(4)ms latency95=9ms latency99=11ms requests=1515 option1=0 option2=0 errors=0 throughput=1496rps ql=1 rr=0.00% cr=0.00% accRequests=18281 accOption1=0 accOption2=0 accLatency=1:3:4:7:2878:(136)ms accLatency95=1135ms accLatency99=1875ms accOpenQueuing=1494 accErrors=0
time=1693317382.237592 latency=1:2:3:4:12:(4)ms latency95=7ms latency99=11ms requests=1502 option1=0 option2=0 errors=0 throughput=1484rps ql=8 rr=0.00% cr=0.00% accRequests=19783 accOption1=0 accOption2=0 accLatency=1:3:4:7:2878:(126)ms accLatency95=1081ms accLatency99=1846ms accOpenQueuing=1497 accErrors=0
time=1693317383.250087 latency=1:3:3:4:14:(4)ms latency95=7ms latency99=11ms requests=1578 option1=0 option2=0 errors=0 throughput=1559rps ql=2 rr=0.00% cr=0.00% accRequests=21361 accOption1=0 accOption2=0 accLatency=1:3:4:6:2878:(117)ms accLatency95=1017ms accLatency99=1835ms accOpenQueuing=1502 accErrors=0
time=1693317384.266122 latency=1:3:3:4:13:(4)ms latency95=7ms latency99=10ms requests=1458 option1=0 option2=0 errors=0 throughput=1435rps ql=1 rr=0.00% cr=0.00% accRequests=22819 accOption1=0 accOption2=0 accLatency=1:3:4:6:2878:(109)ms accLatency95=967ms accLatency99=1803ms accOpenQueuing=1509 accErrors=0
time=1693317385.280205 latency=1:2:3:4:10:(3)ms latency95=7ms latency99=9ms requests=1442 option1=0 option2=0 errors=0 throughput=1422rps ql=15 rr=0.00% cr=0.00% accRequests=24261 accOption1=0 accOption2=0 accLatency=1:3:4:6:2878:(103)ms accLatency95=912ms accLatency99=1786ms accOpenQueuing=1515 accErrors=0
