time=1692876206.819138 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692876206.819595 concurrency=100
time=1692876207.831365 latency=4:5:9:10:56:(9)ms latency95=15ms latency99=38ms requests=100 option1=0 option2=0 errors=0 throughput=99rps ql=2 rr=0.00% cr=0.00% accRequests=100 accOption1=0 accOption2=0 accLatency=4:5:9:10:56:(9)ms accLatency95=15ms accLatency99=38ms accOpenQueuing=1 accErrors=0
time=1692876208.831661 latency=4:5:5:6:35:(6)ms latency95=10ms latency99=30ms requests=114 option1=0 option2=0 errors=0 throughput=114rps ql=1 rr=0.00% cr=0.00% accRequests=214 accOption1=0 accOption2=0 accLatency=4:5:5:9:56:(8)ms accLatency95=11ms accLatency99=37ms accOpenQueuing=2 accErrors=0
time=1692876209.832061 latency=3:5:5:5:10:(5)ms latency95=9ms latency99=9ms requests=108 option1=0 option2=0 errors=0 throughput=108rps ql=0 rr=0.00% cr=0.00% accRequests=322 accOption1=0 accOption2=0 accLatency=3:5:5:9:56:(7)ms accLatency95=10ms accLatency99=35ms accOpenQueuing=2 accErrors=0
time=1692876210.832498 latency=3:4:5:5:9:(5)ms latency95=6ms latency99=9ms requests=104 option1=0 option2=0 errors=0 throughput=104rps ql=0 rr=0.00% cr=0.00% accRequests=426 accOption1=0 accOption2=0 accLatency=3:5:5:6:56:(6)ms accLatency95=10ms accLatency99=34ms accOpenQueuing=3 accErrors=0
time=1692876211.832985 latency=3:5:5:5:6:(5)ms latency95=5ms latency99=5ms requests=77 option1=0 option2=0 errors=0 throughput=77rps ql=0 rr=0.00% cr=0.00% accRequests=503 accOption1=0 accOption2=0 accLatency=3:5:5:5:56:(6)ms accLatency95=10ms accLatency99=31ms accOpenQueuing=3 accErrors=0
time=1692876212.833533 latency=4:5:5:5:9:(5)ms latency95=5ms latency99=8ms requests=92 option1=0 option2=0 errors=0 throughput=92rps ql=0 rr=0.00% cr=0.00% accRequests=595 accOption1=0 accOption2=0 accLatency=3:5:5:5:56:(6)ms accLatency95=10ms accLatency99=30ms accOpenQueuing=4 accErrors=0
time=1692876213.834073 latency=4:5:5:5:9:(5)ms latency95=6ms latency99=6ms requests=77 option1=0 option2=0 errors=0 throughput=77rps ql=1 rr=0.00% cr=0.00% accRequests=672 accOption1=0 accOption2=0 accLatency=3:5:5:5:56:(6)ms accLatency95=10ms accLatency99=27ms accOpenQueuing=5 accErrors=0
time=1692876214.834654 latency=3:5:5:5:6:(5)ms latency95=5ms latency99=5ms requests=79 option1=0 option2=0 errors=0 throughput=79rps ql=0 rr=0.00% cr=0.00% accRequests=751 accOption1=0 accOption2=0 accLatency=3:5:5:5:56:(6)ms accLatency95=10ms accLatency99=23ms accOpenQueuing=5 accErrors=0
time=1692876215.835286 latency=3:4:5:5:12:(5)ms latency95=6ms latency99=7ms requests=100 option1=0 option2=0 errors=0 throughput=100rps ql=0 rr=0.00% cr=0.00% accRequests=851 accOption1=0 accOption2=0 accLatency=3:5:5:5:56:(6)ms accLatency95=9ms accLatency99=15ms accOpenQueuing=5 accErrors=0
