time=1692888883.327251 latency=nan:nan:nan:nan:nan:(0)ms latency95=nanms latency99=0ms requests=0 option1=0 option2=0 errors=0 throughput=0rps ql=0 rr=-nan% cr=-nan% accRequests=0 accOption1=0 accOption2=0 accLatency=nan:nan:nan:nan:nan:(0)ms accLatency95=nanms accLatency99=0ms accOpenQueuing=0 accErrors=0
time=1692888883.327664 concurrency=750
time=1692888884.383710 latency=3:13:80:257:454:(138)ms latency95=383ms latency99=423ms requests=756 option1=0 option2=0 errors=0 throughput=716rps ql=6 rr=0.00% cr=0.00% accRequests=756 accOption1=0 accOption2=0 accLatency=3:13:80:257:454:(138)ms accLatency95=383ms accLatency99=423ms accOpenQueuing=93 accErrors=0
time=1692888885.384732 latency=3:4:5:8:67:(7)ms latency95=11ms latency99=47ms requests=765 option1=0 option2=0 errors=0 throughput=764rps ql=8 rr=0.00% cr=0.00% accRequests=1521 accOption1=0 accOption2=0 accLatency=3:5:9:79:454:(72)ms accLatency95=350ms accLatency99=415ms accOpenQueuing=101 accErrors=0
time=1692888886.386544 latency=3:4:5:6:20:(6)ms latency95=10ms latency99=12ms requests=735 option1=0 option2=0 errors=0 throughput=734rps ql=12 rr=0.00% cr=0.00% accRequests=2256 accOption1=0 accOption2=0 accLatency=3:4:6:14:454:(50)ms accLatency95=313ms accLatency99=399ms accOpenQueuing=103 accErrors=0
time=1692888887.388858 latency=3:4:5:6:12:(5)ms latency95=9ms latency99=10ms requests=739 option1=0 option2=0 errors=0 throughput=737rps ql=5 rr=0.00% cr=0.00% accRequests=2995 accOption1=0 accOption2=0 accLatency=3:4:6:10:454:(39)ms accLatency95=277ms accLatency99=390ms accOpenQueuing=107 accErrors=0
time=1692888888.391643 latency=3:4:5:6:11:(5)ms latency95=8ms latency99=10ms requests=796 option1=0 option2=0 errors=0 throughput=794rps ql=4 rr=0.00% cr=0.00% accRequests=3791 accOption1=0 accOption2=0 accLatency=3:4:5:8:454:(32)ms accLatency95=257ms accLatency99=383ms accOpenQueuing=108 accErrors=0
time=1692888889.396414 latency=3:4:4:5:10:(4)ms latency95=6ms latency99=9ms requests=762 option1=0 option2=0 errors=0 throughput=758rps ql=2 rr=0.00% cr=0.00% accRequests=4553 accOption1=0 accOption2=0 accLatency=3:4:5:7:454:(27)ms accLatency95=230ms accLatency99=379ms accOpenQueuing=111 accErrors=0
time=1692888890.400867 latency=3:4:4:5:10:(5)ms latency95=7ms latency99=9ms requests=752 option1=0 option2=0 errors=0 throughput=749rps ql=0 rr=0.00% cr=0.00% accRequests=5305 accOption1=0 accOption2=0 accLatency=3:4:5:7:454:(24)ms accLatency95=206ms accLatency99=375ms accOpenQueuing=116 accErrors=0
time=1692888891.405186 latency=3:4:5:5:10:(5)ms latency95=8ms latency99=9ms requests=737 option1=0 option2=0 errors=0 throughput=734rps ql=2 rr=0.00% cr=0.00% accRequests=6042 accOption1=0 accOption2=0 accLatency=3:4:5:6:454:(22)ms accLatency95=155ms accLatency99=363ms accOpenQueuing=119 accErrors=0
time=1692888892.410058 latency=3:4:5:6:13:(5)ms latency95=7ms latency99=9ms requests=742 option1=0 option2=0 errors=0 throughput=738rps ql=2 rr=0.00% cr=0.00% accRequests=6784 accOption1=0 accOption2=0 accLatency=3:4:5:6:454:(20)ms accLatency95=123ms accLatency99=356ms accOpenQueuing=126 accErrors=0
time=1692888893.415504 latency=3:4:5:6:19:(5)ms latency95=9ms latency99=18ms requests=768 option1=0 option2=0 errors=0 throughput=764rps ql=2 rr=0.00% cr=0.00% accRequests=7552 accOption1=0 accOption2=0 accLatency=3:4:5:6:454:(18)ms accLatency95=79ms accLatency99=350ms accOpenQueuing=128 accErrors=0
time=1692888894.421460 latency=3:4:5:5:9:(5)ms latency95=7ms latency99=9ms requests=751 option1=0 option2=0 errors=0 throughput=747rps ql=4 rr=0.00% cr=0.00% accRequests=8303 accOption1=0 accOption2=0 accLatency=3:4:5:6:454:(17)ms accLatency95=64ms accLatency99=347ms accOpenQueuing=128 accErrors=0
